City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2023-03-01 04:07:25,-23.1203,-134.9692,80.4,74,9,13.58
1,Butaritari,KI,2023-03-01 04:11:11,3.0707,172.7902,82.17,76,86,14.5
2,Cape Town,ZA,2023-03-01 04:09:57,-33.9258,18.4232,68.38,81,81,17.0
3,Ribeira Grande,PT,2023-03-01 04:11:12,38.5167,-28.7,60.78,86,55,25.99
4,Albany,US,2023-03-01 04:11:12,42.6001,-73.9662,34.81,91,61,8.03
5,Severo-Kurilsk,RU,2023-03-01 04:08:58,50.6789,156.125,24.62,90,100,16.13
6,Buala,SB,2023-03-01 04:11:13,-8.145,159.5921,81.84,81,97,18.21
7,New Norfolk,AU,2023-03-01 04:11:14,-42.7826,147.0587,71.1,50,49,10.0
8,Hobart,AU,2023-03-01 04:05:16,-42.8794,147.3294,71.46,47,40,21.85
9,Humberto De Campos,BR,2023-03-01 04:11:14,-2.5983,-43.4611,75.2,94,93,4.09
10,Avarua,CK,2023-03-01 04:11:15,-21.2078,-159.775,82.45,57,60,5.75
11,Hermanus,ZA,2023-03-01 04:11:16,-34.4187,19.2345,62.8,90,36,8.32
12,Bengkulu,ID,2023-03-01 04:11:16,-3.8004,102.2655,81.97,73,84,6.53
13,Cockburn Town,TC,2023-03-01 04:09:37,21.4612,-71.1419,75.52,74,5,10.56
14,Fortuna,US,2023-03-01 04:11:17,40.5982,-124.1573,37.92,95,100,3.44
15,Sorland,NO,2023-03-01 04:11:18,67.667,12.6934,40.86,90,73,17.85
16,Muros,ES,2023-03-01 04:11:18,42.7762,-9.0603,36.84,83,6,11.65
17,Frontera,MX,2023-03-01 04:08:13,26.9333,-101.45,84.33,38,94,3.0
18,Athabasca,CA,2023-03-01 04:11:19,54.7169,-113.2854,11.84,94,100,5.82
19,Carnarvon,AU,2023-03-01 04:10:08,-24.8667,113.6333,91.67,48,67,1.63
20,Mataura,NZ,2023-03-01 04:08:47,-46.1927,168.8643,65.48,65,100,2.35
21,Ahuimanu,US,2023-03-01 04:11:20,21.4447,-157.8378,74.75,80,75,17.27
22,Chinchani,IN,2023-03-01 04:11:21,19.8667,72.7,80.74,37,0,4.5
23,Muli,MV,2023-03-01 04:10:14,2.9167,73.5667,81.23,77,86,16.02
24,Cabo San Lucas,MX,2023-03-01 04:10:25,22.8909,-109.9124,68.5,75,74,7.07
25,Chokurdakh,RU,2023-03-01 04:08:58,70.6333,147.9167,-28.95,98,92,3.53
26,Atuona,PF,2023-03-01 04:08:55,-9.8,-139.0333,80.15,77,6,15.05
27,Oyama,JP,2023-03-01 04:11:22,36.3,139.8,64.58,18,36,1.97
28,Tiksi,RU,2023-03-01 04:11:22,71.6872,128.8694,-27.81,98,84,3.65
29,Zarate,AR,2023-03-01 04:11:23,-34.0981,-59.0286,78.91,60,28,5.77
30,Ushuaia,AR,2023-03-01 04:08:49,-54.8,-68.3,42.46,75,20,4.61
31,Poum,NC,2023-03-01 04:08:59,-20.2333,164.0167,81.66,82,66,8.34
32,Englewood,US,2023-03-01 04:07:22,39.6478,-104.9878,36.28,32,0,6.91
33,Pangnirtung,CA,2023-03-01 04:11:24,66.1451,-65.7125,-33.48,75,10,5.44
34,Deputatskiy,RU,2023-03-01 04:11:24,69.3,139.9,-23.39,99,86,0.63
35,Seminole,US,2023-03-01 04:11:25,28.7086,-81.2081,73.2,89,0,5.75
36,Clyde River,CA,2023-03-01 04:11:26,70.4692,-68.5914,-27.2,82,6,4.03
37,Antofagasta,CL,2023-03-01 04:11:27,-23.65,-70.4,67.28,83,51,3.33
38,Saint George,US,2023-03-01 04:10:29,37.1041,-113.5841,46.99,53,100,9.22
39,Bluff,NZ,2023-03-01 04:11:27,-46.6,168.3333,65.8,68,100,4.32
40,Bredasdorp,ZA,2023-03-01 04:08:47,-34.5322,20.0403,62.67,86,13,3.98
41,Saldanha,ZA,2023-03-01 04:10:17,-33.0117,17.9442,63.34,92,20,17.29
42,Abu Zabad,SD,2023-03-01 04:11:28,12.35,29.25,69.6,16,11,10.54
43,San Andres,CO,2023-03-01 04:09:49,12.5847,-81.7006,78.82,78,40,10.36
44,San Carlos De Bariloche,AR,2023-03-01 04:11:29,-41.1456,-71.3082,50.38,93,5,7.61
45,Joshimath,IN,2023-03-01 04:12:30,30.5667,79.5667,55.83,57,100,2.73
46,Chulumani,BO,2023-03-01 04:12:31,-16.4096,-67.5263,64.89,92,87,1.79
47,Noumea,NC,2023-03-01 04:11:35,-22.2763,166.4572,86.0,99,100,14.97
48,Qandala,SO,2023-03-01 04:12:32,11.472,49.8728,75.9,71,13,3.78
49,Bari,IT,2023-03-01 04:12:33,41.1177,16.8512,54.27,88,20,3.44
50,Bintulu,MY,2023-03-01 04:12:33,3.1667,113.0333,82.22,77,100,7.9
51,Jaffna,LK,2023-03-01 04:12:34,9.6685,80.0074,81.48,71,18,16.28
52,Yellowknife,CA,2023-03-01 04:11:37,62.456,-114.3525,-10.44,76,56,10.0
53,Fort Nelson,CA,2023-03-01 04:12:34,58.8053,-122.7002,-6.74,100,57,1.5
54,Kapaa,US,2023-03-01 04:10:15,22.0752,-159.319,78.78,80,75,25.32
55,Tasiilaq,GL,2023-03-01 04:08:46,65.6145,-37.6368,28.56,86,42,1.61
56,Vaini,TO,2023-03-01 04:08:26,-21.2,-175.2,87.96,74,40,11.5
57,Flin Flon,CA,2023-03-01 04:12:35,54.7682,-101.865,-12.89,98,42,4.94
58,Port Lincoln,AU,2023-03-01 04:10:15,-34.7333,135.8667,68.97,59,72,14.05
59,Vaitape,PF,2023-03-01 04:11:53,-16.5167,-151.75,81.97,74,99,8.55
60,Caravelas,BR,2023-03-01 04:12:36,-17.7125,-39.2481,75.24,90,35,3.44
61,Ituporanga,BR,2023-03-01 04:12:37,-27.4144,-49.6025,65.1,99,100,1.74
62,Rafaela,AR,2023-03-01 04:12:37,-31.2503,-61.4867,80.98,35,0,6.91
63,Kasese,UG,2023-03-01 04:12:38,0.1833,30.0833,66.33,88,82,2.95
64,Bara,NG,2023-03-01 04:10:52,10.3744,10.7288,73.11,16,45,4.32
65,Shache,CN,2023-03-01 04:12:38,38.4167,77.2406,38.71,63,66,4.61
66,Norrkoping,SE,2023-03-01 04:12:39,58.5942,16.1826,29.39,88,93,3.44
67,Nador,MA,2023-03-01 04:12:39,35.174,-2.9287,53.85,62,75,3.44
68,Hithadhoo,MV,2023-03-01 04:10:05,-0.6,73.0833,82.15,67,100,12.39
69,Cozumel,MX,2023-03-01 04:12:40,20.5083,-86.9458,75.27,88,0,3.44
70,Kulhudhuffushi,MV,2023-03-01 04:12:40,6.6221,73.07,80.6,70,24,8.39
71,Atakpame,TG,2023-03-01 04:12:41,7.5333,1.1333,76.77,76,91,3.71
72,Port Augusta,AU,2023-03-01 04:12:41,-32.5,137.7667,77.63,35,0,19.39
73,Haines Junction,CA,2023-03-01 04:12:42,60.7522,-137.5108,3.6,96,100,1.68
74,Pacific Grove,US,2023-03-01 04:11:05,36.6177,-121.9166,48.65,91,100,16.11
75,Tando Muhammad Khan,PK,2023-03-01 04:12:43,25.123,68.5358,79.32,23,0,11.01
76,Port Elizabeth,ZA,2023-03-01 04:12:43,-33.918,25.5701,69.31,96,52,3.0
77,Luanda,AO,2023-03-01 04:12:44,-8.8368,13.2343,76.91,84,100,9.48
78,Hare Bay,CA,2023-03-01 04:12:45,48.8499,-54.0148,4.35,99,49,4.27
79,Camacha,PT,2023-03-01 04:12:45,33.0833,-16.3333,56.62,88,20,3.44
80,Busselton,AU,2023-03-01 04:08:37,-33.65,115.3333,84.45,40,0,4.38
81,Petropavlovsk-Kamchatskiy,RU,2023-03-01 04:12:46,53.0452,158.6483,23.59,50,75,4.47
82,Bandarbeyla,SO,2023-03-01 04:12:46,9.4942,50.8122,77.27,75,60,4.16
83,Harnosand,SE,2023-03-01 04:12:47,62.6323,17.9379,37.4,73,46,20.62
84,Barrow,US,2023-03-01 04:10:07,71.2906,-156.7887,-16.58,83,0,14.97
85,Airai,TL,2023-03-01 04:12:47,-8.9266,125.4092,63.09,93,100,4.74
86,Mana,GF,2023-03-01 04:12:48,5.6592,-53.7767,76.41,91,100,8.9
87,Xining,CN,2023-03-01 04:12:48,36.6167,101.7667,30.51,53,33,1.97
88,Jumla,NP,2023-03-01 04:12:49,29.2747,82.1838,52.68,31,5,4.92
89,Hilo,US,2023-03-01 04:05:29,19.7297,-155.09,71.33,90,75,5.75
90,Constitucion,CL,2023-03-01 04:12:49,-35.3333,-72.4167,62.2,63,0,10.94
91,Vinh Yen,VN,2023-03-01 04:12:50,21.31,105.5967,66.15,68,85,5.44
92,Karratha,AU,2023-03-01 04:10:19,-20.7377,116.8463,96.94,40,63,3.6
93,Marsh Harbour,BS,2023-03-01 04:12:18,26.5412,-77.0636,75.38,65,0,7.47
94,Vanimo,PG,2023-03-01 04:13:51,-2.6741,141.3028,84.61,67,93,9.24
95,Acapulco,MX,2023-03-01 04:13:51,16.8634,-99.8901,80.42,69,40,3.44
96,Castro,BR,2023-03-01 04:13:52,-24.7911,-50.0119,60.3,99,79,3.44
97,Ostrovnoy,RU,2023-03-01 04:13:40,68.0531,39.5131,26.24,79,100,19.08
98,Muhos,FI,2023-03-01 04:13:52,64.808,25.9931,28.76,88,79,5.39
99,Yozgat,TR,2023-03-01 04:13:53,39.5833,35.3333,44.04,75,98,4.63
100,Srandakan,ID,2023-03-01 04:13:53,-7.9386,110.2506,81.46,77,84,11.23
101,Arraial Do Cabo,BR,2023-03-01 04:08:58,-22.9661,-42.0278,74.43,91,75,13.22
102,Kodiak,US,2023-03-01 04:08:06,57.79,-152.4072,35.11,93,100,6.91
103,Tawau,MY,2023-03-01 04:13:55,4.2498,117.8871,82.02,73,100,2.21
104,Te Anau,NZ,2023-03-01 04:13:55,-45.4167,167.7167,55.99,94,100,3.38
105,Talcahuano,CL,2023-03-01 04:13:56,-36.7167,-73.1167,60.48,72,0,8.05
106,Saint-Philippe,RE,2023-03-01 04:10:12,-21.3585,55.7679,80.19,80,42,8.68
107,Mahebourg,MU,2023-03-01 04:10:09,-20.4081,57.7,82.26,74,7,7.63
108,Ilhabela,BR,2023-03-01 04:13:57,-23.7781,-45.3581,74.79,93,93,4.97
109,Port Hedland,AU,2023-03-01 04:13:57,-20.3167,118.5667,98.65,53,42,14.97
110,Kruisfontein,ZA,2023-03-01 04:13:58,-34.0033,24.7314,66.88,91,93,5.66
111,Ngunguru,NZ,2023-03-01 04:13:58,-35.6167,174.5,69.44,67,16,6.55
112,Sivas,TR,2023-03-01 04:13:59,39.7916,37.0019,36.23,80,75,4.61
113,Ukholovo,RU,2023-03-01 04:13:59,53.7929,40.4892,16.0,89,98,10.13
114,Tuktoyaktuk,CA,2023-03-01 04:14:00,69.4541,-133.0374,-18.42,99,53,9.04
115,Lebu,CL,2023-03-01 04:14:00,-37.6167,-73.65,59.13,87,0,13.98
116,Iquitos,PE,2023-03-01 04:14:01,-3.7481,-73.2472,75.24,94,75,1.14
117,Karnal,IN,2023-03-01 04:14:01,29.6833,76.9833,73.49,31,99,4.72
118,Galle,LK,2023-03-01 04:14:02,6.0367,80.217,80.38,72,97,7.18
119,Svetlaya,RU,2023-03-01 04:14:03,46.5389,138.3297,32.36,48,49,4.09
120,Ketchikan,US,2023-03-01 04:14:03,55.3422,-131.6461,31.98,74,75,3.44
121,Punta Arenas,CL,2023-03-01 04:06:11,-53.15,-70.9167,42.12,81,75,25.32
122,Fereydun Kenar,IR,2023-03-01 04:14:04,36.6864,52.5225,53.55,68,25,6.35
123,Kirakira,SB,2023-03-01 04:14:05,-10.4544,161.9205,81.77,88,89,23.4
124,Esperance,AU,2023-03-01 04:14:05,-33.8667,121.9,72.5,54,20,14.56
125,Mungaa,TZ,2023-03-01 04:14:06,-4.9667,34.8833,60.04,93,98,1.43
126,Codrington,AU,2023-03-01 04:14:07,-38.2667,141.9667,64.78,60,52,14.36
127,Cascais,PT,2023-03-01 04:14:07,38.6979,-9.4215,47.52,59,12,17.0
128,Leh,IN,2023-03-01 04:14:08,34.1667,77.5833,17.04,84,94,2.89
129,Meulaboh,ID,2023-03-01 04:14:08,4.1363,96.1285,83.16,66,81,1.99
130,Rosarito,MX,2023-03-01 04:14:09,32.3333,-117.0333,54.55,75,11,8.14
131,Puerto Leguizamo,CO,2023-03-01 04:14:10,-0.1934,-74.7819,69.57,99,87,1.5
132,Assiniboia,CA,2023-03-01 04:12:01,49.6334,-105.9845,12.15,93,100,8.88
133,Salalah,OM,2023-03-01 04:13:24,17.0151,54.0924,71.69,73,0,4.61
134,Port Alfred,ZA,2023-03-01 04:09:25,-33.5906,26.891,68.18,97,58,1.99
135,Vagur,FO,2023-03-01 04:14:12,61.4732,-6.8119,44.11,84,51,17.09
136,Ponta Do Sol,PT,2023-03-01 04:08:56,32.6667,-17.1,61.72,83,95,2.71
137,Butembo,CD,2023-03-01 04:15:12,0.15,29.2833,57.7,95,96,3.42
138,Bethel,US,2023-03-01 04:15:13,41.3712,-73.414,33.49,86,0,4.61
139,Fare,PF,2023-03-01 04:15:13,-16.7,-151.0167,82.92,72,94,9.06
140,Caibarien,CU,2023-03-01 04:15:14,22.5206,-79.4669,63.72,71,0,5.1
141,Aleksandrovskiy Zavod,RU,2023-03-01 04:12:21,50.9237,117.9374,13.35,60,13,6.58
142,Hunterville,NZ,2023-03-01 04:15:15,-39.9333,175.5667,70.7,50,0,5.46
143,Byron Bay,AU,2023-03-01 04:15:15,-28.65,153.6167,91.71,63,0,17.0
144,Alofi,NU,2023-03-01 04:10:45,-19.0595,-169.9187,80.85,70,89,8.9
145,Kavaratti,IN,2023-03-01 04:15:16,10.5669,72.642,81.48,67,10,9.04
146,Nikolskoye,RU,2023-03-01 04:08:42,59.7035,30.7861,24.69,91,88,8.99
147,Nanortalik,GL,2023-03-01 04:15:18,60.1432,-45.2371,23.32,75,100,9.04
148,Qaanaaq,GL,2023-03-01 04:08:48,77.484,-69.3632,-10.82,87,96,6.22
149,Sao Filipe,CV,2023-03-01 04:15:18,14.8961,-24.4956,70.99,73,8,10.65
150,Bambous Virieux,MU,2023-03-01 04:10:04,-20.3428,57.7575,82.22,72,8,7.4
151,Ryzdvyanyy,RU,2023-03-01 04:15:19,45.2656,41.8389,32.7,92,70,10.29
152,Asfi,MA,2023-03-01 04:15:19,32.2994,-9.2372,58.87,74,100,4.36
153,Talnakh,RU,2023-03-01 04:15:20,69.4865,88.3972,0.82,81,95,9.26
154,San Quintin,MX,2023-03-01 04:15:20,30.4833,-115.95,54.18,75,60,9.71
155,Kahului,US,2023-03-01 04:15:21,20.8947,-156.47,71.31,86,40,12.66
156,Birjand,IR,2023-03-01 04:15:22,32.8663,59.2211,46.2,68,6,2.3
157,Naica,MX,2023-03-01 04:15:23,27.85,-105.4833,67.05,14,99,9.31
158,Rio Gallegos,AR,2023-03-01 04:15:23,-51.6226,-69.2181,44.65,61,0,11.5
159,Udachnyy,RU,2023-03-01 04:15:24,66.4167,112.4,0.45,70,37,3.98
160,Sistranda,NO,2023-03-01 04:13:13,63.7256,8.834,42.76,86,100,19.82
161,Qazvin,IR,2023-03-01 04:15:25,36.2797,50.0049,45.73,40,54,3.76
162,Kaitangata,NZ,2023-03-01 04:15:25,-46.2817,169.8464,66.65,70,82,4.83
163,Maraa,BR,2023-03-01 04:15:26,-1.8333,-65.3667,73.18,98,100,1.12
164,Mar Del Plata,AR,2023-03-01 04:15:26,-38.0023,-57.5575,73.94,73,0,9.22
165,Yumen,CN,2023-03-01 04:15:27,40.2833,97.2,38.52,34,39,3.06
166,Jamestown,US,2023-03-01 04:08:49,42.097,-79.2353,31.01,92,75,3.44
167,Mashhad,IR,2023-03-01 04:15:28,36.297,59.6062,41.14,70,0,0.0
168,Wucheng,CN,2023-03-01 04:15:29,29.6008,118.175,56.62,65,100,2.17
169,Gushikawa,JP,2023-03-01 04:15:29,26.3544,127.8686,71.19,54,0,8.05
170,Bandar,ID,2023-03-01 04:15:30,2.05,99.75,74.7,95,100,2.66
171,Iqaluit,CA,2023-03-01 04:06:20,63.7506,-68.5145,-31.27,66,0,2.3
172,Concepcion,CL,2023-03-01 04:15:31,-36.827,-73.0498,60.6,72,0,8.05
173,Abu Dhabi,AE,2023-03-01 04:12:43,24.4667,54.3667,76.95,76,0,4.61
174,Serebryansk,KZ,2023-03-01 04:15:33,49.6925,83.2892,16.68,86,100,7.65
175,Glenwood Springs,US,2023-03-01 04:15:34,39.5505,-107.3248,25.61,85,40,12.66
176,Bell Ville,AR,2023-03-01 04:11:25,-32.6259,-62.6887,73.67,43,6,8.52
177,Tessalit,ML,2023-03-01 04:13:26,20.1986,1.0114,64.49,18,0,5.55
178,Polson,US,2023-03-01 04:15:35,47.6936,-114.1632,20.77,81,56,3.36
179,Bilibino,RU,2023-03-01 04:15:35,68.0546,166.4372,-30.69,98,45,1.97
180,Stettler,CA,2023-03-01 04:15:36,52.3168,-112.7186,9.75,94,100,7.67
181,Pasaje,EC,2023-03-01 04:15:36,-3.3333,-79.8167,76.21,93,97,1.43
182,Hofn,IS,2023-03-01 04:15:37,64.2539,-15.2082,37.6,55,100,11.72
183,Fuerte Olimpo,PY,2023-03-01 04:15:37,-21.0415,-57.8738,77.58,77,73,3.09
184,Longyearbyen,SJ,2023-03-01 04:08:53,78.2186,15.6401,12.04,79,75,18.41
185,Lata,PT,2023-03-01 04:16:38,40.1629,-8.3327,35.08,66,0,3.91
186,Sao Joao Da Barra,BR,2023-03-01 04:16:39,-21.6403,-41.0511,74.97,90,0,6.04
187,Mbini,GQ,2023-03-01 04:16:39,1.574,9.6134,76.62,87,99,8.52
188,Georgetown,MY,2023-03-01 04:13:45,5.4112,100.3354,80.53,78,40,4.61
189,Babstovo,RU,2023-03-01 04:16:40,48.1167,132.4833,20.59,67,16,8.28
